SKU_ID,Supplier_ID,Material_Category,UOM,Unit_Weight_KG,Base_Price_EUR
SKU-2026-00035,SUP-NCR-058,Steel_Forging,EA,14.23,27.89
SKU-2026-00036,SUP-PUN-096,Steel_Forging,EA,0.6,45.4
SKU-2026-00037,SUP-NCR-093,Alum_Casting,KG,3.59,18.23
SKU-2026-00038,SUP-NCR-046,Steel_Forging,KG,2.16,16.26
SKU-2026-00039,SUP-PUN-083,Electronics,EA,3.27,34.74
SKU-2026-00040,SUP-CHE-115,Electronics,EA,7.47,17.44
SKU-2026-00041,SUP-NCR-027,Steel_Forging,KG,4.22,42.39
SKU-2026-00042,SUP-CHE-022,Steel_Forging,EA,1.33,21.31
SKU-2026-00043,SUP-PUN-039,Electronics,EA,3.72,23.84
SKU-2026-00044,SUP-PUN-044,Alum_Casting,EA,6.28,43.5
SKU-2026-00045,SUP-CHE-038,Alum_Casting,KG,5.29,8.03
SKU-2026-00046,SUP-CHE-081,Steel_Forging,EA,2.5,49.49
SKU-2026-00047,SUP-PUN-037,Electronics,KG,3.41,26.38
SKU-2026-00048,SUP-PUN-105,Steel_Forging,EA,9.63,29.04
SKU-2026-00049,SUP-CHE-089,Alum_Casting,EA,2.52,7.49
SKU-2026-00050,SUP-PUN-011,Alum_Casting,EA,1.98,22.13
SKU-2026-00051,SUP-PUN-110,Alum_Casting,EA,0.44,20.75
SKU-2026-00052,SUP-CHE-092,Electronics,EA,9.09,12.21
SKU-2026-00053,SUP-PUN-018,Steel_Forging,KG,5.91,45.39
SKU-2026-00054,SUP-NCR-053,Electronics,EA,7.24,10.21
SKU-2026-00055,SUP-NCR-078,Electronics,EA,6.95,33.25
SKU-2026-00056,SUP-CHE-062,Alum_Casting,EA,2.13,28.98
SKU-2026-00057,SUP-PUN-010,Alum_Casting,KG,3.51,22.47
SKU-2026-00058,SUP-CHE-038,Steel_Forging,EA,12.65,12.98
SKU-2026-00059,SUP-PUN-003,Alum_Casting,EA,7.71,46.65
SKU-2026-00060,SUP-PUN-040,Steel_Forging,EA,3.31,11.69
SKU-2026-00061,SUP-NCR-071,Steel_Forging,EA,0.72,5.43
SKU-2026-00062,SUP-CHE-062,Steel_Forging,EA,2.34,13.26
SKU-2026-00063,SUP-PUN-109,Steel_Forging,EA,7.58,24.37
SKU-2026-00064,SUP-PUN-047,Steel_Forging,KG,7.75,28.99
SKU-2026-00065,SUP-CHE-116,Electronics,EA,5.95,29.07
SKU-2026-00066,SUP-PUN-068,Electronics,EA,7.15,20.07
SKU-2026-00067,SUP-PUN-023,Electronics,EA,8.13,21.46
SKU-2026-00068,SUP-CHE-038,Electronics,KG,4.84,20.53
SKU-2026-00069,SUP-CHE-028,Electronics,EA,7.15,10.1
SKU-2026-00070,SUP-PUN-096,Electronics,EA,2.3,44.85
SKU-2026-00071,SUP-CHE-088,Steel_Forging,EA,2.88,31.31
SKU-2026-00072,SUP-NCR-098,Steel_Forging,EA,1.53,48.1
SKU-2026-00073,SUP-CHE-097,Alum_Casting,EA,8.99,20.07
SKU-2026-00074,SUP-PUN-037,Alum_Casting,EA,4.65,43.57
SKU-2026-00075,SUP-PUN-057,Alum_Casting,EA,0.78,36.6
SKU-2026-00076,SUP-CHE-095,Alum_Casting,EA,5.81,6.86
SKU-2026-00077,SUP-NCR-027,Electronics,KG,2.59,10.02
SKU-2026-00078,SUP-NCR-082,Alum_Casting,KG,2.07,15.74
SKU-2026-00079,SUP-PUN-068,Steel_Forging,EA,1.54,18.08
SKU-2026-00080,SUP-PUN-085,Electronics,KG,2.8,17.19
SKU-2026-00081,SUP-CHE-113,Electronics,EA,2.61,44.54
SKU-2026-00082,SUP-CHE-087,Electronics,EA,5.18,16.38
SKU-2026-00083,SUP-PUN-059,Steel_Forging,EA,12.78,9.55
SKU-2026-00084,SUP-PUN-015,Alum_Casting,KG,3.44,20.64
SKU-2026-00085,SUP-CHE-026,Electronics,EA,10.49,27.25
SKU-2026-00086,SUP-CHE-084,Steel_Forging,EA,4.32,48.41
SKU-2026-00087,SUP-CHE-081,Electronics,EA,11.03,36.63
SKU-2026-00088,SUP-PUN-075,Alum_Casting,KG,3.82,11.43
SKU-2026-00089,SUP-PUN-029,Electronics,KG,5.67,7.73
SKU-2026-00090,SUP-CHE-086,Steel_Forging,EA,1.75,31.0
SKU-2026-00091,SUP-CHE-051,Electronics,EA,6.21,48.02
SKU-2026-00092,SUP-PUN-083,Electronics,EA,10.47,43.52
SKU-2026-00093,SUP-PUN-101,Steel_Forging,EA,2.7,43.83
SKU-2026-00094,SUP-PUN-117,Electronics,EA,4.16,12.72
SKU-2026-00095,SUP-CHE-089,Electronics,EA,1.13,35.26
SKU-2026-00096,SUP-CHE-115,Electronics,KG,8.1,31.0
SKU-2026-00097,SUP-PUN-111,Alum_Casting,KG,6.98,9.57
SKU-2026-00098,SUP-NCR-013,Steel_Forging,EA,5.01,7.02
SKU-2026-00099,SUP-CHE-051,Steel_Forging,EA,2.17,8.1
SKU-2026-00100,SUP-CHE-000,Alum_Casting,EA,6.28,35.77
SKU-2026-00101,SUP-PUN-108,Alum_Casting,KG,4.14,45.58
SKU-2026-00102,SUP-CHE-081,Alum_Casting,KG,5.09,25.54
SKU-2026-00103,SUP-CHE-081,Steel_Forging,EA,7.24,44.76
SKU-2026-00104,SUP-PUN-008,Electronics,KG,3.57,14.93
SKU-2026-00105,SUP-NCR-046,Electronics,KG,5.58,30.28
SKU-2026-00106,SUP-PUN-029,Steel_Forging,EA,4.4,45.87
SKU-2026-00107,SUP-NCR-060,Steel_Forging,EA,2.51,26.14
SKU-2026-00108,SUP-CHE-028,Steel_Forging,EA,2.79,36.7
SKU-2026-00109,SUP-CHE-005,Electronics,EA,2.08,37.26
SKU-2026-00110,SUP-NCR-114,Steel_Forging,KG,5.65,16.27
SKU-2026-00111,SUP-CHE-048,Alum_Casting,KG,1.32,14.64
SKU-2026-00112,SUP-CHE-026,Alum_Casting,EA,1.29,7.12
SKU-2026-00113,SUP-PUN-018,Electronics,EA,4.53,47.13
SKU-2026-00114,SUP-NCR-114,Steel_Forging,EA,10.16,30.23
SKU-2026-00115,SUP-PUN-047,Steel_Forging,EA,2.57,28.07
SKU-2026-00116,SUP-PUN-101,Steel_Forging,EA,3.35,46.57
SKU-2026-00117,SUP-CHE-028,Steel_Forging,EA,1.12,31.08
SKU-2026-00118,SUP-NCR-012,Electronics,EA,8.93,18.49
SKU-2026-00119,SUP-PUN-039,Steel_Forging,EA,6.43,10.47
SKU-2026-00120,SUP-CHE-019,Alum_Casting,EA,2.33,26.31
SKU-2026-00121,SUP-PUN-031,Electronics,EA,16.07,37.63
SKU-2026-00122,SUP-PUN-007,Alum_Casting,EA,0.68,18.26
SKU-2026-00123,SUP-PUN-037,Electronics,EA,1.83,16.14
SKU-2026-00124,SUP-CHE-084,Electronics,EA,1.98,9.01
SKU-2026-00125,SUP-PUN-117,Electronics,EA,5.5,16.98
SKU-2026-00126,SUP-CHE-005,Alum_Casting,KG,6.1,49.46
SKU-2026-00127,SUP-PUN-099,Alum_Casting,KG,5.99,10.61
SKU-2026-00128,SUP-PUN-064,Alum_Casting,EA,6.55,44.46
SKU-2026-00129,SUP-PUN-112,Electronics,EA,1.38,22.2
SKU-2026-00130,SUP-NCR-013,Steel_Forging,EA,1.1,46.38
SKU-2026-00131,SUP-NCR-049,Steel_Forging,EA,1.83,5.75
SKU-2026-00132,SUP-CHE-113,Electronics,EA,0.77,10.15
SKU-2026-00133,SUP-NCR-073,Steel_Forging,EA,3.29,28.89
SKU-2026-00134,SUP-PUN-063,Steel_Forging,EA,3.67,28.91
SKU-2026-00135,SUP-CHE-115,Electronics,KG,6.37,31.17
SKU-2026-00136,SUP-PUN-110,Alum_Casting,EA,2.29,32.26
SKU-2026-00137,SUP-PUN-003,Steel_Forging,EA,4.77,36.74
SKU-2026-00138,SUP-NCR-114,Steel_Forging,EA,2.15,27.89
SKU-2026-00139,SUP-CHE-006,Electronics,EA,2.18,8.72
SKU-2026-00140,SUP-PUN-101,Electronics,EA,0.77,49.41
SKU-2026-00141,SUP-PUN-103,Alum_Casting,KG,19.48,16.56
SKU-2026-00142,SUP-CHE-051,Electronics,EA,8.53,9.58
SKU-2026-00143,SUP-CHE-042,Electronics,EA,4.59,21.55
SKU-2026-00144,SUP-CHE-009,Steel_Forging,EA,3.36,27.28
SKU-2026-00145,SUP-PUN-112,Steel_Forging,EA,3.21,8.93
SKU-2026-00146,SUP-NCR-060,Steel_Forging,KG,1.93,33.55
SKU-2026-00147,SUP-PUN-047,Steel_Forging,EA,6.64,44.27
SKU-2026-00148,SUP-CHE-094,Alum_Casting,EA,3.1,22.35
SKU-2026-00149,SUP-PUN-063,Alum_Casting,EA,3.9,13.87
SKU-2026-00150,SUP-CHE-088,Steel_Forging,EA,4.92,19.07
SKU-2026-00151,SUP-CHE-094,Alum_Casting,EA,5.9,30.27
SKU-2026-00152,SUP-PUN-018,Steel_Forging,EA,2.83,10.07
SKU-2026-00153,SUP-CHE-052,Steel_Forging,EA,1.94,12.71
SKU-2026-00154,SUP-NCR-106,Electronics,EA,2.66,12.27
SKU-2026-00155,SUP-NCR-053,Electronics,EA,2.53,48.33
SKU-2026-00156,SUP-PUN-111,Alum_Casting,KG,5.33,43.24
SKU-2026-00157,SUP-CHE-056,Steel_Forging,EA,5.33,43.11
SKU-2026-00158,SUP-CHE-052,Alum_Casting,EA,3.68,36.99
SKU-2026-00159,SUP-CHE-097,Alum_Casting,EA,1.94,47.8
SKU-2026-00160,SUP-CHE-005,Alum_Casting,KG,4.9,33.4
SKU-2026-00161,SUP-NCR-001,Alum_Casting,KG,13.36,20.2
SKU-2026-00162,SUP-PUN-072,Steel_Forging,EA,4.08,39.94
SKU-2026-00163,SUP-NCR-034,Electronics,EA,0.42,13.4
SKU-2026-00164,SUP-CHE-116,Alum_Casting,EA,4.02,11.15
SKU-2026-00165,SUP-NCR-013,Alum_Casting,EA,1.46,22.88
SKU-2026-00166,SUP-CHE-019,Electronics,EA,2.97,31.32
SKU-2026-00167,SUP-NCR-069,Alum_Casting,KG,6.12,32.49
SKU-2026-00168,SUP-NCR-098,Steel_Forging,EA,3.36,32.26
SKU-2026-00169,SUP-NCR-098,Electronics,EA,3.5,6.29
SKU-2026-00170,SUP-PUN-020,Electronics,KG,1.9,38.2
SKU-2026-00171,SUP-CHE-006,Electronics,EA,1.24,12.38
SKU-2026-00172,SUP-NCR-102,Steel_Forging,EA,2.52,22.08
SKU-2026-00173,SUP-CHE-052,Electronics,EA,1.81,26.84
SKU-2026-00174,SUP-NCR-106,Alum_Casting,EA,2.12,14.63
SKU-2026-00175,SUP-PUN-117,Electronics,EA,3.73,9.24
SKU-2026-00176,SUP-CHE-042,Steel_Forging,EA,3.04,20.31
SKU-2026-00177,SUP-CHE-016,Electronics,EA,8.24,9.84
SKU-2026-00178,SUP-CHE-043,Alum_Casting,EA,1.88,37.98
SKU-2026-00179,SUP-PUN-011,Electronics,KG,4.88,24.86
SKU-2026-00180,SUP-NCR-104,Steel_Forging,EA,13.94,28.76
SKU-2026-00181,SUP-CHE-038,Steel_Forging,EA,3.38,10.21
SKU-2026-00182,SUP-NCR-013,Alum_Casting,KG,8.38,38.04
SKU-2026-00183,SUP-NCR-078,Steel_Forging,EA,2.99,23.57
SKU-2026-00184,SUP-PUN-074,Alum_Casting,EA,4.12,16.44
SKU-2026-00185,SUP-PUN-110,Steel_Forging,KG,4.98,42.75
SKU-2026-00186,SUP-PUN-031,Steel_Forging,KG,3.8,5.42
SKU-2026-00187,SUP-CHE-036,Steel_Forging,EA,18.62,36.61
SKU-2026-00188,SUP-PUN-099,Alum_Casting,EA,2.06,18.01
SKU-2026-00189,SUP-NCR-091,Alum_Casting,KG,2.96,49.35
SKU-2026-00190,SUP-PUN-017,Electronics,EA,16.95,29.93
SKU-2026-00191,SUP-PUN-010,Electronics,EA,2.68,7.05
SKU-2026-00192,SUP-CHE-113,Steel_Forging,EA,3.76,37.85
SKU-2026-00193,SUP-PUN-076,Steel_Forging,EA,17.16,14.91
SKU-2026-00194,SUP-PUN-065,Steel_Forging,EA,1.95,47.28
SKU-2026-00195,SUP-PUN-085,Electronics,KG,6.68,47.44
SKU-2026-00196,SUP-PUN-110,Steel_Forging,KG,2.51,15.34
SKU-2026-00197,SUP-NCR-091,Alum_Casting,KG,5.12,16.24
SKU-2026-00198,SUP-PUN-023,Alum_Casting,EA,16.16,32.03
SKU-2026-00199,SUP-CHE-066,Alum_Casting,EA,8.55,40.46
SKU-2026-00200,SUP-NCR-060,Alum_Casting,KG,4.37,35.54
SKU-2026-00201,SUP-CHE-004,Steel_Forging,EA,2.46,23.84
SKU-2026-00202,SUP-NCR-034,Alum_Casting,EA,9.45,44.57
SKU-2026-00203,SUP-CHE-045,Steel_Forging,EA,0.11,47.53
SKU-2026-00204,SUP-NCR-013,Steel_Forging,EA,7.0,40.65
SKU-2026-00205,SUP-PUN-061,Steel_Forging,EA,8.72,17.33
SKU-2026-00206,SUP-CHE-036,Electronics,EA,4.0,48.2
SKU-2026-00207,SUP-NCR-107,Alum_Casting,EA,3.63,8.61
SKU-2026-00208,SUP-NCR-002,Alum_Casting,EA,0.54,30.66
SKU-2026-00209,SUP-CHE-062,Electronics,KG,10.15,21.2
SKU-2026-00210,SUP-NCR-021,Steel_Forging,EA,4.52,47.94
SKU-2026-00211,SUP-PUN-024,Alum_Casting,EA,3.85,19.07
SKU-2026-00212,SUP-CHE-000,Alum_Casting,EA,2.35,49.76
SKU-2026-00213,SUP-CHE-088,Electronics,EA,1.32,36.03
SKU-2026-00214,SUP-PUN-109,Electronics,EA,8.5,13.77
SKU-2026-00215,SUP-PUN-017,Alum_Casting,KG,4.01,19.68
SKU-2026-00216,SUP-NCR-060,Steel_Forging,EA,4.13,48.92
SKU-2026-00217,SUP-CHE-115,Alum_Casting,EA,3.53,12.01
SKU-2026-00218,SUP-NCR-067,Steel_Forging,EA,2.46,11.52
SKU-2026-00219,SUP-CHE-080,Alum_Casting,EA,4.74,30.68
SKU-2026-00220,SUP-PUN-112,Steel_Forging,EA,3.3,25.31
SKU-2026-00221,SUP-PUN-050,Alum_Casting,EA,2.04,39.72
SKU-2026-00222,SUP-NCR-071,Alum_Casting,EA,1.43,34.93
SKU-2026-00223,SUP-PUN-003,Electronics,EA,5.85,38.41
SKU-2026-00224,SUP-PUN-017,Alum_Casting,EA,5.65,29.69
SKU-2026-00225,SUP-CHE-016,Electronics,EA,4.11,24.2
SKU-2026-00226,SUP-PUN-040,Steel_Forging,EA,8.96,41.14
SKU-2026-00227,SUP-PUN-023,Alum_Casting,EA,1.63,7.37
SKU-2026-00228,SUP-PUN-050,Steel_Forging,EA,5.81,42.39
SKU-2026-00229,SUP-NCR-046,Steel_Forging,KG,6.83,25.64
SKU-2026-00230,SUP-CHE-086,Alum_Casting,EA,6.72,29.22
SKU-2026-00231,SUP-NCR-073,Steel_Forging,EA,8.3,47.0
SKU-2026-00232,SUP-CHE-033,Steel_Forging,EA,1.12,22.83
SKU-2026-00233,SUP-PUN-096,Steel_Forging,EA,4.5,41.6
SKU-2026-00234,SUP-CHE-094,Alum_Casting,EA,8.59,19.03
SKU-2026-00235,SUP-PUN-008,Electronics,EA,2.18,19.26
SKU-2026-00236,SUP-PUN-109,Steel_Forging,EA,8.08,22.86
SKU-2026-00237,SUP-PUN-099,Alum_Casting,KG,2.48,21.79
SKU-2026-00238,SUP-PUN-072,Electronics,EA,6.21,30.11
SKU-2026-00239,SUP-CHE-022,Steel_Forging,EA,4.38,40.92
SKU-2026-00240,SUP-PUN-018,Alum_Casting,EA,10.3,5.05
SKU-2026-00241,SUP-PUN-015,Alum_Casting,EA,3.95,46.93
SKU-2026-00242,SUP-PUN-074,Electronics,KG,1.39,29.38
SKU-2026-00243,SUP-CHE-087,Alum_Casting,EA,2.29,14.09
SKU-2026-00244,SUP-CHE-087,Electronics,EA,6.11,49.09
SKU-2026-00245,SUP-NCR-107,Alum_Casting,EA,1.39,7.93
SKU-2026-00246,SUP-NCR-027,Electronics,EA,0.49,15.06
SKU-2026-00247,SUP-CHE-022,Steel_Forging,EA,14.26,13.16
SKU-2026-00248,SUP-PUN-003,Steel_Forging,EA,7.86,27.19
SKU-2026-00249,SUP-NCR-118,Electronics,EA,11.31,37.9
SKU-2026-00250,SUP-NCR-118,Steel_Forging,EA,0.57,12.83
SKU-2026-00251,SUP-CHE-009,Steel_Forging,KG,1.97,39.14
SKU-2026-00252,SUP-NCR-027,Electronics,EA,2.39,23.34
SKU-2026-00253,SUP-PUN-017,Steel_Forging,EA,2.03,36.59
SKU-2026-00254,SUP-PUN-047,Steel_Forging,EA,1.56,40.19
SKU-2026-00255,SUP-PUN-101,Alum_Casting,EA,0.77,22.71
SKU-2026-00256,SUP-PUN-099,Alum_Casting,EA,2.43,20.71
SKU-2026-00257,SUP-CHE-006,Steel_Forging,EA,4.97,6.3
SKU-2026-00258,SUP-PUN-105,Steel_Forging,EA,8.0,5.99
SKU-2026-00259,SUP-NCR-114,Alum_Casting,KG,7.43,41.11
SKU-2026-00260,SUP-PUN-061,Alum_Casting,EA,1.83,34.19
SKU-2026-00261,SUP-NCR-091,Steel_Forging,EA,1.56,5.72
SKU-2026-00262,SUP-PUN-015,Alum_Casting,EA,3.73,7.78
SKU-2026-00263,SUP-NCR-053,Steel_Forging,EA,1.93,12.7
SKU-2026-00264,SUP-NCR-012,Steel_Forging,EA,3.37,27.48
SKU-2026-00265,SUP-CHE-009,Alum_Casting,EA,2.58,29.33
SKU-2026-00266,SUP-NCR-053,Alum_Casting,EA,8.27,45.89
SKU-2026-00267,SUP-PUN-055,Alum_Casting,KG,6.95,29.51
SKU-2026-00268,SUP-CHE-045,Alum_Casting,EA,4.03,39.53
SKU-2026-00269,SUP-PUN-023,Alum_Casting,EA,4.06,23.92
SKU-2026-00270,SUP-PUN-108,Electronics,EA,3.76,44.4
SKU-2026-00271,SUP-CHE-048,Alum_Casting,EA,1.78,13.72
SKU-2026-00272,SUP-NCR-046,Alum_Casting,EA,5.52,43.57
SKU-2026-00273,SUP-NCR-049,Steel_Forging,EA,12.08,22.64
SKU-2026-00274,SUP-CHE-088,Alum_Casting,EA,4.78,27.22
SKU-2026-00275,SUP-CHE-079,Alum_Casting,EA,4.47,23.64
SKU-2026-00276,SUP-PUN-085,Alum_Casting,EA,4.81,43.99
SKU-2026-00277,SUP-PUN-077,Steel_Forging,EA,3.11,34.61
SKU-2026-00278,SUP-CHE-090,Electronics,EA,2.11,30.33
SKU-2026-00279,SUP-CHE-084,Steel_Forging,EA,6.76,5.38
SKU-2026-00280,SUP-PUN-017,Electronics,EA,1.15,24.92
SKU-2026-00281,SUP-PUN-050,Alum_Casting,EA,0.49,31.01
SKU-2026-00282,SUP-NCR-078,Electronics,EA,5.88,20.23
SKU-2026-00283,SUP-PUN-039,Steel_Forging,EA,5.42,9.26
SKU-2026-00284,SUP-NCR-021,Steel_Forging,KG,7.79,39.16
SKU-2026-00285,SUP-NCR-053,Steel_Forging,EA,5.71,9.95
SKU-2026-00286,SUP-CHE-090,Steel_Forging,KG,3.23,37.28
SKU-2026-00287,SUP-PUN-011,Steel_Forging,EA,6.28,25.66
SKU-2026-00288,SUP-CHE-036,Alum_Casting,EA,2.51,44.43
SKU-2026-00289,SUP-NCR-013,Electronics,EA,6.66,23.1
SKU-2026-00290,SUP-PUN-076,Steel_Forging,EA,11.69,41.19
SKU-2026-00291,SUP-CHE-028,Electronics,EA,15.07,41.17
SKU-2026-00292,SUP-PUN-003,Alum_Casting,KG,4.98,11.99
SKU-2026-00293,SUP-PUN-055,Electronics,EA,1.31,15.33
SKU-2026-00294,SUP-NCR-104,Electronics,EA,2.58,44.1
SKU-2026-00295,SUP-PUN-072,Electronics,EA,1.91,30.45
SKU-2026-00296,SUP-NCR-012,Electronics,EA,3.63,13.76
SKU-2026-00297,SUP-PUN-007,Alum_Casting,KG,2.45,21.53
SKU-2026-00298,SUP-PUN-015,Electronics,EA,3.64,47.72
SKU-2026-00299,SUP-CHE-115,Steel_Forging,KG,5.68,22.54
SKU-2026-00300,SUP-PUN-075,Electronics,EA,5.76,12.05
SKU-2026-00301,SUP-CHE-014,Steel_Forging,EA,0.87,9.53
SKU-2026-00302,SUP-CHE-014,Electronics,KG,3.1,32.03
SKU-2026-00303,SUP-NCR-114,Alum_Casting,EA,0.62,33.81
SKU-2026-00304,SUP-PUN-111,Electronics,EA,4.87,6.77
SKU-2026-00305,SUP-PUN-083,Alum_Casting,EA,3.08,25.69
SKU-2026-00306,SUP-NCR-071,Alum_Casting,KG,3.64,47.81
SKU-2026-00307,SUP-PUN-061,Steel_Forging,EA,4.49,27.16
SKU-2026-00308,SUP-CHE-042,Electronics,KG,10.48,33.64
SKU-2026-00309,SUP-PUN-007,Alum_Casting,EA,6.41,5.63
SKU-2026-00310,SUP-NCR-078,Electronics,EA,8.62,9.23
SKU-2026-00311,SUP-CHE-097,Electronics,EA,4.0,47.29
SKU-2026-00312,SUP-CHE-006,Electronics,EA,7.76,49.1
SKU-2026-00313,SUP-CHE-113,Electronics,EA,2.3,34.25
SKU-2026-00314,SUP-CHE-052,Alum_Casting,KG,1.2,14.66
SKU-2026-00315,SUP-PUN-011,Alum_Casting,EA,1.28,18.06
SKU-2026-00316,SUP-NCR-071,Alum_Casting,EA,5.16,14.99
SKU-2026-00317,SUP-PUN-008,Alum_Casting,KG,7.64,32.5
SKU-2026-00318,SUP-NCR-107,Alum_Casting,EA,1.48,23.6
SKU-2026-00319,SUP-CHE-089,Alum_Casting,EA,6.31,27.37
SKU-2026-00320,SUP-CHE-019,Alum_Casting,EA,10.11,15.43
SKU-2026-00321,SUP-NCR-046,Steel_Forging,EA,5.9,30.83
SKU-2026-00322,SUP-NCR-106,Electronics,EA,3.64,9.76
SKU-2026-00323,SUP-NCR-027,Electronics,EA,4.12,11.08
SKU-2026-00324,SUP-NCR-093,Alum_Casting,EA,9.3,37.4
SKU-2026-00325,SUP-PUN-003,Steel_Forging,KG,5.98,32.48
SKU-2026-00326,SUP-CHE-004,Electronics,EA,2.36,9.14
SKU-2026-00327,SUP-CHE-014,Electronics,KG,12.59,7.32
SKU-2026-00328,SUP-CHE-045,Electronics,EA,2.08,45.35
SKU-2026-00329,SUP-CHE-042,Steel_Forging,EA,11.34,35.7
SKU-2026-00330,SUP-CHE-006,Alum_Casting,KG,8.07,40.56
SKU-2026-00331,SUP-PUN-077,Electronics,EA,7.2,14.58
SKU-2026-00332,SUP-PUN-020,Electronics,EA,3.61,31.78
SKU-2026-00333,SUP-NCR-114,Steel_Forging,KG,6.44,5.71
SKU-2026-00334,SUP-PUN-105,Electronics,EA,6.05,35.44
SKU-2026-00335,SUP-NCR-082,Electronics,EA,6.86,22.08
SKU-2026-00336,SUP-NCR-098,Steel_Forging,EA,0.72,46.55
SKU-2026-00337,SUP-PUN-039,Alum_Casting,EA,1.21,38.75
SKU-2026-00338,SUP-CHE-000,Steel_Forging,KG,1.74,34.74
SKU-2026-00339,SUP-PUN-117,Steel_Forging,EA,7.74,25.72
SKU-2026-00340,SUP-CHE-032,Alum_Casting,EA,7.65,33.95
SKU-2026-00341,SUP-CHE-115,Electronics,KG,3.6,18.82
SKU-2026-00342,SUP-CHE-005,Alum_Casting,KG,10.91,8.83
SKU-2026-00343,SUP-CHE-056,Steel_Forging,KG,1.55,43.98
SKU-2026-00344,SUP-PUN-117,Electronics,EA,6.55,15.56
SKU-2026-00345,SUP-CHE-066,Steel_Forging,EA,2.95,48.85
SKU-2026-00346,SUP-PUN-064,Steel_Forging,EA,9.07,12.56
SKU-2026-00347,SUP-PUN-065,Electronics,EA,4.52,26.89
SKU-2026-00348,SUP-NCR-106,Electronics,EA,2.91,5.96
SKU-2026-00349,SUP-NCR-100,Steel_Forging,EA,6.65,40.89
SKU-2026-00350,SUP-PUN-074,Alum_Casting,KG,2.07,5.39
SKU-2026-00351,SUP-PUN-068,Alum_Casting,EA,3.15,30.9
SKU-2026-00352,SUP-CHE-095,Steel_Forging,EA,3.48,47.17
SKU-2026-00353,SUP-PUN-050,Steel_Forging,EA,9.61,12.22
SKU-2026-00354,SUP-PUN-011,Steel_Forging,EA,3.92,45.52
SKU-2026-00355,SUP-PUN-057,Steel_Forging,EA,7.44,35.7
SKU-2026-00356,SUP-CHE-004,Alum_Casting,EA,1.1,6.76
SKU-2026-00357,SUP-NCR-082,Electronics,KG,8.2,13.42
SKU-2026-00358,SUP-PUN-011,Alum_Casting,EA,3.83,27.51
SKU-2026-00359,SUP-NCR-035,Alum_Casting,KG,20.5,5.75
SKU-2026-00360,SUP-NCR-078,Steel_Forging,EA,6.39,32.44
SKU-2026-00361,SUP-NCR-082,Electronics,EA,7.92,11.32
SKU-2026-00362,SUP-CHE-088,Electronics,EA,4.43,42.83
SKU-2026-00363,SUP-PUN-083,Steel_Forging,EA,3.05,29.42
SKU-2026-00364,SUP-CHE-090,Electronics,KG,4.45,35.49
